iter	Passed	Remaining
401	19623	4783
402	19678	4736
403	19727	4687
404	19772	4638
405	19823	4589
406	19869	4540
407	19915	4490
408	19956	4440
409	20003	4391
410	20052	4342
411	20104	4294
412	20162	4247
413	20220	4200
414	20279	4153
415	20341	4107
416	20399	4060
417	20440	4009
418	20482	3959
419	20522	3909
420	20566	3859
421	20606	3808
422	20650	3759
423	20719	3713
424	20769	3665
425	20820	3616
426	20869	3567
427	20916	3518
428	20956	3468
429	21000	3418
430	21047	3369
431	21094	3320
432	21139	3270
433	21184	3221
434	21244	3174
435	21295	3125
436	21353	3078
437	21451	3036
438	21527	2991
439	21579	2942
440	21629	2893
441	21679	2844
442	21730	2795
443	21780	2747
444	21827	2697
445	21878	2648
446	21925	2599
447	21975	2550
448	22018	2500
449	22061	2451
450	22102	2401
451	22144	2351
452	22188	2302
453	22250	2254
454	22293	2204
455	22336	2155
456	22380	2105
457	22431	2057
458	22482	2008
459	22527	1958
460	22574	1909
461	22622	1860
462	22671	1811
463	22711	1762
464	22753	1712
465	22798	1663
466	22844	1614
467	22885	1564
468	22931	1515
469	22981	1466
470	23028	1417
471	23067	1368
472	23110	1319
473	23149	1269
474	23192	1220
475	23235	1171
476	23279	1122
477	23325	1073
478	23369	1024
479	23461	977
480	23506	928
481	23552	879
482	23596	830
483	23639	781
484	23683	732
485	23725	683
486	23767	634
487	23810	585
488	23853	536
489	23893	487
490	23933	438
491	23978	389
492	24020	341
493	24065	292
494	24109	243
495	24151	194
496	24207	146
497	24253	97
498	24296	48
499	24338	0
