iter	Logloss
0	0.6099285446
1	0.5424147761
2	0.4863170836
3	0.436698728
4	0.3924372856
5	0.3561192315
6	0.3238436774
7	0.2963051696
8	0.2733821197
9	0.2542960609
10	0.2379181455
11	0.2248325571
12	0.2127918567
13	0.2025371457
14	0.1934870714
15	0.1854862448
16	0.1786530888
17	0.1731959268
18	0.1681248153
19	0.1635954294
20	0.1599269048
21	0.1565874094
22	0.1535150845
23	0.1510028943
24	0.1488510056
25	0.146753723
26	0.1448225295
27	0.1432501695
28	0.1420832054
29	0.1406984924
30	0.1395083802
31	0.1384655745
32	0.1375238944
33	0.1366324082
34	0.1358250579
35	0.1351196379
36	0.1345264884
37	0.1339098142
38	0.1333357507
39	0.1329034574
40	0.1324716357
41	0.1319930788
42	0.131573492
43	0.1311671685
44	0.1308482821
45	0.1306313433
46	0.1303422311
47	0.1300184031
48	0.1297524648
49	0.1295278663
50	0.1292445399
51	0.1290657471
52	0.1289143343
53	0.128709127
54	0.1284836191
55	0.1282554812
56	0.1280915963
57	0.12788255
58	0.1277778247
59	0.1276078854
60	0.1275031694
61	0.1273811725
62	0.1272887335
63	0.1271809197
64	0.1269868026
65	0.1268233114
66	0.1267371729
67	0.1266290784
68	0.1264472575
69	0.1263286758
70	0.1262356678
71	0.126103715
72	0.1259713866
73	0.1258321737
74	0.1256875516
75	0.1256275201
76	0.1255821112
77	0.1254638803
78	0.1254024832
79	0.1253333259
80	0.1252521108
81	0.1251722127
82	0.1250949984
83	0.1249735062
84	0.1248528475
85	0.124733579
86	0.1246539513
87	0.1246080033
88	0.1245080428
89	0.1243547071
90	0.1243062584
91	0.1241997259
92	0.124082545
93	0.1239817716
94	0.1238956619
95	0.1238378243
96	0.1237590052
97	0.1236765677
98	0.1235853129
99	0.1235551198
100	0.1234821424
101	0.1234044176
102	0.1233617943
103	0.1233023116
104	0.1232450984
105	0.1231720754
106	0.1231013169
107	0.1230302343
108	0.1229696183
109	0.122908948
110	0.122859161
111	0.1227700106
112	0.1226872149
113	0.1226262369
114	0.1225414272
115	0.1224822557
116	0.122417626
117	0.1223697792
118	0.1222551693
119	0.122206507
120	0.122139632
121	0.1220756007
122	0.1220429759
123	0.1219948853
124	0.1219080715
125	0.1218358638
126	0.1217916366
127	0.1217182643
128	0.1216633661
129	0.1216015958
130	0.1215591851
131	0.121469716
132	0.1214011433
133	0.1213521629
134	0.1212787478
135	0.1212155859
136	0.1211385253
137	0.121079929
138	0.1210299919
139	0.1209837363
140	0.1209137246
141	0.1208836356
142	0.1208158784
143	0.1207510707
144	0.1206934189
145	0.120648848
146	0.1205940842
147	0.1205650987
148	0.1205173427
149	0.1204762457
150	0.1204318475
151	0.1203897396
152	0.1203454366
153	0.1202894448
154	0.1202699856
155	0.120229085
156	0.120181847
157	0.1201309759
158	0.1200909492
159	0.1200258732
160	0.1199330019
161	0.1198877268
162	0.1198510478
163	0.1198207227
164	0.1197736992
165	0.1197327369
166	0.1196782768
167	0.1196429421
168	0.1195839749
169	0.1195354387
170	0.1194903072
171	0.1194616929
172	0.1194006348
173	0.119353884
174	0.1193144811
175	0.1192717203
176	0.1192328671
177	0.1191810151
178	0.1191357584
179	0.1191009411
180	0.1190568747
181	0.1190259507
182	0.1189716991
183	0.1189262141
184	0.1188890821
185	0.1188382707
186	0.1187871917
187	0.1187437418
188	0.1187206733
189	0.1186943176
190	0.1186629278
191	0.1185980893
192	0.1185415701
193	0.1185078422
194	0.1184564125
195	0.1184045471
196	0.1183608061
197	0.1183248182
198	0.1182747591
199	0.1182201707
200	0.1181776984
201	0.1181443109
202	0.118118837
203	0.1180974045
204	0.1180517675
205	0.1180158099
206	0.1179596271
207	0.1178985616
208	0.1178691205
209	0.1178299097
210	0.1178122919
211	0.117773032
212	0.1177434109
213	0.1176924714
214	0.1176601489
215	0.1176222261
216	0.1175921624
217	0.117573546
218	0.1175262563
219	0.1175060932
220	0.1174588319
221	0.1174318189
222	0.1173874124
223	0.1173345772
224	0.1173191853
225	0.1172917822
226	0.1172707573
227	0.1172455001
228	0.1172069305
229	0.1171769733
230	0.1171514042
231	0.1171212733
232	0.1170889034
233	0.117044441
234	0.1169962166
235	0.1169724919
236	0.1169376845
237	0.1169045978
238	0.116876939
239	0.1168525485
240	0.1168337828
241	0.1167861907
242	0.1167606898
243	0.1167336796
244	0.1166932213
245	0.1166592475
246	0.1166281832
247	0.1165889747
248	0.1165596677
249	0.1165192369
250	0.1164833125
251	0.1164260089
252	0.1163878119
253	0.1163541845
254	0.1163302974
255	0.116309498
256	0.1162587819
257	0.1162253621
258	0.1162106121
259	0.1161677887
260	0.1161405441
261	0.1161130068
262	0.1160805861
263	0.1160543408
264	0.1160218699
265	0.115992107
266	0.1159544861
267	0.115926602
268	0.1158743344
269	0.1158420178
270	0.1158163775
271	0.1157961712
272	0.1157667901
273	0.1157383292
274	0.1157133986
275	0.1156915408
276	0.1156690761
277	0.1156255024
278	0.1156056378
279	0.1155630268
280	0.1155172363
281	0.1154996668
282	0.1154698312
283	0.1154452585
284	0.1154044908
285	0.1153849289
286	0.1153634811
287	0.1153258164
288	0.1152960869
289	0.11526028
290	0.1152374959
291	0.1152112068
292	0.1151915547
293	0.1151545987
294	0.1151290562
295	0.1151047092
296	0.1150761025
297	0.1150544137
298	0.1150373975
299	0.115020052
300	0.1149857689
301	0.114950208
302	0.1149309786
303	0.1149058728
304	0.1148874602
305	0.1148542473
306	0.1148280772
307	0.1147887266
308	0.1147545547
309	0.1147342535
310	0.1147027632
311	0.1146839999
312	0.1146596552
313	0.1146438516
314	0.1146220497
315	0.1146009364
316	0.1145797014
317	0.1145562889
318	0.1145398641
319	0.1145205893
320	0.1144803228
321	0.1144476986
322	0.1144142036
323	0.1143916389
324	0.114368065
325	0.1143471081
326	0.1143332119
327	0.1142849994
328	0.1142659002
329	0.1142420304
330	0.114222656
331	0.1142045422
332	0.1141879492
333	0.1141661435
334	0.1141371981
335	0.1141127336
336	0.1140812465
337	0.1140434501
338	0.1140045187
339	0.1139840637
340	0.1139569515
341	0.1139348102
342	0.1139211941
343	0.1138851861
344	0.1138488531
345	0.1138122482
346	0.1137752779
347	0.1137452499
348	0.1137271305
349	0.1137113325
350	0.1137003077
351	0.1136575402
352	0.1136322969
353	0.1135959514
354	0.1135676822
355	0.1135459016
356	0.1135281073
357	0.1135050226
358	0.1134713194
359	0.1134468941
360	0.1134300433
361	0.1133962945
362	0.1133700997
363	0.1133392351
364	0.1133090361
365	0.1132888151
366	0.1132763169
367	0.1132551653
368	0.1132249704
369	0.1131986328
370	0.1131745342
371	0.1131449111
372	0.1131172482
373	0.1130810133
374	0.1130715982
375	0.1130332935
376	0.1130128595
377	0.1129978898
378	0.1129658452
379	0.1129381873
380	0.1129138112
381	0.1128926474
382	0.1128593488
383	0.1128334857
384	0.1128016026
385	0.1127872864
386	0.1127689561
387	0.1127429814
388	0.1127290691
389	0.1127053461
390	0.1126773424
391	0.1126608379
392	0.1126396705
393	0.1126168551
394	0.1125877988
395	0.1125555208
396	0.1125407335
397	0.1125106421
398	0.1124717032
399	0.1124515011
400	0.1124256464
401	0.1124045093
402	0.1123780484
403	0.1123600523
404	0.1123496752
405	0.1123153929
406	0.1122888755
407	0.1122725936
408	0.1122596927
409	0.1122445197
410	0.11221813
411	0.1121945833
412	0.1121683895
413	0.1121324131
414	0.112091099
415	0.1120642617
416	0.1120405011
417	0.1120259841
418	0.112004084
419	0.1119903566
420	0.1119725419
421	0.1119480731
422	0.1119218906
423	0.1119033198
424	0.1118780736
425	0.1118668808
426	0.1118294177
427	0.1118159699
