iter	Logloss
428	0.1118013015
429	0.1117735512
430	0.1117449821
431	0.1117201466
432	0.111705756
433	0.1116741902
434	0.1116519454
435	0.1116233795
436	0.1116031403
437	0.1115751248
438	0.1115625603
439	0.1115423879
440	0.1115156281
441	0.1114870287
442	0.1114615208
443	0.1114396514
444	0.111421653
445	0.1113988005
446	0.1113842145
447	0.1113670737
448	0.1113447656
449	0.1113295615
450	0.1112948069
451	0.1112752221
452	0.1112521291
453	0.111219399
454	0.1111576202
455	0.1111428293
456	0.1111207878
457	0.1110967352
458	0.1110805645
459	0.1110516215
460	0.1110318605
461	0.1110115013
462	0.1109853435
463	0.1109695066
464	0.11095209
465	0.1109291972
466	0.1109068843
467	0.1108886677
468	0.1108712438
469	0.1108576963
470	0.1108342374
471	0.1108234112
472	0.1108111048
473	0.1107752573
474	0.1107593234
475	0.1107360091
476	0.110720957
477	0.1107073677
478	0.110677713
479	0.1106525522
480	0.1105969744
481	0.1105777187
482	0.1105497121
483	0.1105316502
484	0.1104768149
485	0.1104412112
486	0.1104156946
487	0.1103669508
488	0.1103433185
489	0.110331581
490	0.1103126329
491	0.1102896636
492	0.1102576398
493	0.1102385032
494	0.1102096329
495	0.1101830647
496	0.1101603952
497	0.1101446584
498	0.110135395
499	0.1101218909
